complaint_id,complaint,complaints_type,label
1,I wish to complain about a Telecommunications advertisement that pressure on parents through children. This was seen recently and requires investigation.,children issues,4
2,I wish to complain about a Technology advertisement that false scarcity tactics. This was seen recently and requires investigation.,misleading,1
3,I wish to complain about a Social Media advertisement that exaggerated performance claims. This was seen recently and requires investigation.,misleading,1
4,I wish to complain about a Sports & Fitness advertisement that normalization of dangerous behavior. This was seen recently and requires investigation.,social responsibility,2
5,I wish to complain about a Real Estate advertisement that unrealistic expectations for children. This was seen recently and requires investigation.,children issues,4
6,I wish to complain about a Insurance advertisement that promotion of harmful stereotypes. This was seen recently and requires investigation.,social responsibility,2
7,I wish to complain about a Cosmetics advertisement that targeting vulnerable audiences. This was seen recently and requires investigation.,placement,3
8,I wish to complain about a Food & Beverage advertisement that promotion of harmful stereotypes. This was seen recently and requires investigation.,social responsibility,2
9,I wish to complain about a Telecommunications advertisement that misleading comparison with competitors. This was seen recently and requires investigation.,misleading,1
10,I wish to complain about a Telecommunications advertisement that excessive frequency in residential areas. This was seen recently and requires investigation.,placement,3
11,I wish to complain about a Social Media advertisement that encouragement of gambling behavior. This was seen recently and requires investigation.,social responsibility,2
12,I wish to complain about a Sports & Fitness advertisement that inappropriate product promotion to children. This was seen recently and requires investigation.,children issues,4
13,I wish to complain about a Travel advertisement that exploitation of vulnerable groups. This was seen recently and requires investigation.,social responsibility,2
14,I wish to complain about a Retail advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
15,I wish to complain about a Real Estate advertisement that targeting vulnerable audiences. This was seen recently and requires investigation.,placement,3
16,I wish to complain about a Retail advertisement that exploitation of vulnerable groups. This was seen recently and requires investigation.,social responsibility,2
17,I wish to complain about a Home & Garden advertisement that privacy concerns. This was seen recently and requires investigation.,other,0
18,I wish to complain about a Social Media advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
19,I wish to complain about a FMCG advertisement that false scarcity tactics. This was seen recently and requires investigation.,misleading,1
20,I wish to complain about a Telecommunications advertisement that general advertising standards. This was seen recently and requires investigation.,other,0
21,I wish to complain about a FMCG advertisement that promotion of unhealthy lifestyle choices. This was seen recently and requires investigation.,social responsibility,2
22,I wish to complain about a FMCG advertisement that distressing imagery. This was seen recently and requires investigation.,taste and decency,5
23,I wish to complain about a Fashion advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
24,I wish to complain about a Home & Garden advertisement that distressing imagery. This was seen recently and requires investigation.,taste and decency,5
25,I wish to complain about a Electronics advertisement that encouragement of gambling behavior. This was seen recently and requires investigation.,social responsibility,2
26,I wish to complain about a Technology advertisement that copyright infringement. This was seen recently and requires investigation.,other,0
27,I wish to complain about a Social Media advertisement that inappropriate product promotion to children. This was seen recently and requires investigation.,children issues,4
28,I wish to complain about a E-commerce advertisement that unsubstantiated health claims. This was seen recently and requires investigation.,misleading,1
29,I wish to complain about a Telecommunications advertisement that inappropriate targeting of minors. This was seen recently and requires investigation.,children issues,4
30,I wish to complain about a Telecommunications advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
31,I wish to complain about a Education advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
32,I wish to complain about a Telecommunications advertisement that encouragement of gambling behavior. This was seen recently and requires investigation.,social responsibility,2
33,I wish to complain about a E-commerce advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
34,I wish to complain about a FMCG advertisement that direct exhortation to children. This was seen recently and requires investigation.,children issues,4
35,I wish to complain about a Automotive advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
36,I wish to complain about a Sports & Fitness advertisement that technical implementation issues. This was seen recently and requires investigation.,other,0
37,I wish to complain about a Insurance advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
38,I wish to complain about a Insurance advertisement that encouragement of gambling behavior. This was seen recently and requires investigation.,social responsibility,2
39,I wish to complain about a Sports & Fitness advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
40,I wish to complain about a Fashion advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
41,I wish to complain about a Cosmetics advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
42,I wish to complain about a Sports & Fitness advertisement that harmful gender stereotypes. This was seen recently and requires investigation.,taste and decency,5
43,I wish to complain about a Electronics advertisement that trivializing serious issues. This was seen recently and requires investigation.,social responsibility,2
44,I wish to complain about a Travel advertisement that misleading comparison with competitors. This was seen recently and requires investigation.,misleading,1
45,I wish to complain about a Social Media advertisement that targeting vulnerable audiences. This was seen recently and requires investigation.,placement,3
46,I wish to complain about a Food & Beverage advertisement that unverified testimonials. This was seen recently and requires investigation.,misleading,1
47,I wish to complain about a Entertainment advertisement that pressure on parents through children. This was seen recently and requires investigation.,children issues,4
48,I wish to complain about a E-commerce advertisement that misleading qualification or certification claims. This was seen recently and requires investigation.,misleading,1
49,I wish to complain about a Food & Beverage advertisement that false scarcity tactics. This was seen recently and requires investigation.,misleading,1
50,I wish to complain about a Real Estate advertisement that promotion of harmful stereotypes. This was seen recently and requires investigation.,social responsibility,2
51,I wish to complain about a Retail advertisement that unsubstantiated health claims. This was seen recently and requires investigation.,misleading,1
52,I wish to complain about a Retail advertisement that exaggerated performance claims. This was seen recently and requires investigation.,misleading,1
53,I wish to complain about a Financial Services advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
54,I wish to complain about a Sports & Fitness advertisement that unrealistic expectations for children. This was seen recently and requires investigation.,children issues,4
55,I wish to complain about a Healthcare advertisement that direct exhortation to children. This was seen recently and requires investigation.,children issues,4
56,I wish to complain about a Fashion advertisement that pressure on parents through children. This was seen recently and requires investigation.,children issues,4
57,I wish to complain about a Insurance advertisement that distressing imagery. This was seen recently and requires investigation.,taste and decency,5
58,I wish to complain about a Electronics advertisement that encouragement of excessive consumption. This was seen recently and requires investigation.,social responsibility,2
59,I wish to complain about a Social Media advertisement that inappropriate use of serious issues. This was seen recently and requires investigation.,taste and decency,5
60,I wish to complain about a Sports & Fitness advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
61,I wish to complain about a Telecommunications advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
62,I wish to complain about a Real Estate advertisement that pressure on parents through children. This was seen recently and requires investigation.,children issues,4
63,I wish to complain about a Cosmetics advertisement that unsubstantiated health claims. This was seen recently and requires investigation.,misleading,1
64,I wish to complain about a Cosmetics advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
65,I wish to complain about a Sports & Fitness advertisement that inappropriate sexual content. This was seen recently and requires investigation.,taste and decency,5
66,I wish to complain about a Electronics advertisement that sound level issues. This was seen recently and requires investigation.,other,0
67,I wish to complain about a Food & Beverage advertisement that targeting vulnerable audiences. This was seen recently and requires investigation.,placement,3
68,I wish to complain about a Home & Garden advertisement that privacy concerns. This was seen recently and requires investigation.,other,0
69,I wish to complain about a Fashion advertisement that direct exhortation to children. This was seen recently and requires investigation.,children issues,4
70,I wish to complain about a Food & Beverage advertisement that normalization of dangerous behavior. This was seen recently and requires investigation.,social responsibility,2
71,I wish to complain about a Technology advertisement that encouragement of excessive consumption. This was seen recently and requires investigation.,social responsibility,2
72,I wish to complain about a Retail advertisement that trivializing serious issues. This was seen recently and requires investigation.,social responsibility,2
73,I wish to complain about a Healthcare advertisement that excessive frequency in residential areas. This was seen recently and requires investigation.,placement,3
